Model,Component,N,Accuracy,Precision_w,Recall_w,F1_w
Llama-3.1 8B,Affect-only,373,0.43699731903485256,0.5969239996794217,0.43699731903485256,0.39033917714735955
Llama-3.1 8B,Web-only,373,0.7935656836461126,0.8042811975200237,0.7935656836461126,0.7963958049925871
Llama-3.1 8B,Combined (0.4 affect + 0.6 web),373,0.7908847184986595,0.803743105479756,0.7908847184986595,0.79403473090603
Llama-3.3-70B,Affect-only,373,0.4450402144772118,0.5977209210937924,0.4450402144772118,0.3976248927030928
Llama-3.3-70B,Web-only,373,0.8230563002680965,0.8267272373989702,0.8230563002680965,0.8242868790064496
Llama-3.3-70B,Combined (0.4 affect + 0.6 web),373,0.8257372654155496,0.8381476865247018,0.8257372654155496,0.8282201431589108
Mistral (checkpoint 2),Affect-only,373,0.4343163538873995,0.59669351940662,0.4343163538873995,0.3879332524991558
Mistral (checkpoint 2),Web-only,373,0.8176943699731903,0.865005038857417,0.8176943699731903,0.8216441828586007
Mistral (checkpoint 2),Combined (0.4 affect + 0.6 web),373,0.8123324396782842,0.8623459555937375,0.8123324396782842,0.8163677698765306
Llama-3.1 8B,RAEmoLLM Template 1,373,0.6407506702412868,0.7656932209881271,0.6407506702412868,0.6393044169008734
Llama-3.1 8B,RAEmoLLM Template 2,373,0.5871313672922251,0.6730105874745166,0.5871313672922251,0.5907620917393244
